Опанасюк Вікторія
Загульська Йовілла
Урбанович Йовілла
Вітюк Інга
Федорович Харитина
Бокотей Надія
Андріюк Віра
П'юрко Жадана
Ряшко Єпистимія
Дем'янчук Олівія
Бавриченко Чеслава
Корчинська Беатриса
Апостол Щавелина
Калинець Густава
Вершигора Лілея
Дідушицька Єлизавета
Дворська Юхимина
Кобзар Олівія
Негребецька Юхимина
Батіг Ярина
Балюх Щедриця
Сосновська Улита
Бих Шанетта
Леоненко Йосипа
Фриз Поліна
Цимбал Поляна
Осадца Щазина
Білай Атена
Ревуцька Яніна
Смирна Шарлота
Дехта Нігослава
Мірчук Жозефіна
Дігтяр Іларія
Базика Евеліна
Безкоровайний Сусанна
Головецька В'ячеслава
Журавська Клавдія
Грицак Броніслава
Михалюк Цвітана
Колосюк Еммануель
Журман Либідь
Корпонай Чеслава
Хоменко Йовілла
Чаплич Дзвінка
Турянська Павла
Божко Чеслава
Химинець Інга
Рожко Цецілія
Третякова Феодосія
Івченко Вікторина
Ластівка Юдихва
Гуц Віліна
Мицик Лукреція
Сеньковська Віліна
Слюсарчук Уляна
Бойченко Богуслава
Політило Цвітана
Гавриш Шанетта
Савчук Ждана
Телішевська Жанна
Калішевська Яніна
Гасай Єфросинія
Романченко Ігорина
Радутна Русудана
Подерв'янська Аліса
Прилуцька Златоуста
Роменська Борислава
Збаразька Мар'я
Даниленко Домаха
Григорук Майя
Воронюк Есфір
Крушельницька Йосипа
Гапон Дарина
Лагута Цвітана
Самборська Півонія
Кузьмінська Альфреда
Логуш Росава
Гладчук Цвітана
Кобринська Еммануїла
Бегма Ілона
Туптало Вілена
Омельченко Полеза
Столярчук Віра
Карнаушенко Улита
Зінкевич Дзвенислава
Гогоцька Чеслава
Гринь Ганна
Маренич Чеслава
Павличенко Ревека
Радчук Наталка
Тимчак Тетяна
Куцевол Жозефіна
Левчук Богдана
Джуль Зорегляда
Продан Щазина
Делькевич Фотинія
Галущинська Антонія
Зноско-Боровська Йосифата
Леонтовичі Йосипа
Демченко Світозар
Авраменко Царук
Богданюк Гордослав
Хрієнко Хорив
Афанасенко Йоханес
Плахотнюк Любовир
Круть Олександр
Панько Яр
Ємець Йосеф
Мізерний Живослав
Дмитрів Пантелеймон
Бурміцький Чара
Столярчук Квітан
Шкурган Боримир
Дністрянський Леонід
Гуменний Семен
Ляшко Сонцелик
Шищенко Йосеф
Лойко Осемрит
Усаченко Яровид
Куртяк Хотибор
Калюжний Євлампій
Малишко Мовчан
Корнійчук Єгор
Філюк Ізяслав
Пашук Осмомисл
Яськів Ростун
Рабій Живорід
Корженко Антон
Лебединець Едуард
Ґут-Кульчицький Біловид
Ґерус Федір
Чередниченко Івантослав
Потапчук Недан
Гаращенко Братомил
Сидорук Флор
Кукуруза Життєлюб
Болобан Щек
Скидан Євгеній
Крупа Твердигост
Райко Ярослав
Логуш Чернин
Хомик Устим
Гульченко Цвітан
Шинкарук Шерлок
Беззубенко Родослав
Скакун Еразм
Вуєк Ус
Галів Вогнедар
Атрошенко Житомир
Смолій Остромир
Кулиняк Євген
Колодуб Йошка
Візерські Царук
Прийма Артем
Білай Едуард
Остроградський Родан
Федина Єгор
Мазаракі Будивид
Юзефович Пантелеймон
Дідківський Ждан
Сологуб Чернин
Процюк Шерлок
Крикун Євген
Чорноволенко Фрол
Берест Ведан
Підгорний Пантелеймон
Мартиновський Перелюб
Рогуцький Жадан
Майко Володар
Великий Пребислав
Ластовенко Царук
Пустовіт Ладо
Пласконіс Никифор
Крупа Оримир
Мандзюк Аркадій
Кучеренко Честислав
Андрушків Євлампій
Бутрим Охрім
Грабовецький Назарій
Юзвенко Будивид
Сагайдак Еммануїл
Батюк Ходота
Гливенко Златоус
Палій Анатолій
Шишацький Соловей
Бурячок Йосеф
Маткобожик Любомисл
Крамар Андрон
Кованько Ус
Лебідь Фрол
Тернопільський Щедрогост
Пасько Никифор
Джус Микита
Сенишин Тихон
Римарук Хвала
Малиновський Чернин
Якубович Юхим
Варивода Світогор
